frame_num,time [s],cx [mm],cy [mm]
74,0.30833333333333335,33.0,48.42857142857142
75,0.3125,33.0,48.42857142857142
76,0.31666666666666665,33.0,49.857142857142854
77,0.32083333333333336,33.0,49.857142857142854
78,0.325,33.0,50.0
79,0.32916666666666666,33.0,49.71428571428571
80,0.3333333333333333,33.0,48.71428571428571
81,0.3375,33.0,48.42857142857142
82,0.3416666666666667,33.0,47.857142857142854
83,0.3458333333333333,33.0,48.0
84,0.35,33.0,48.0
85,0.3541666666666667,33.0,49.0
86,0.35833333333333334,33.0,49.0
87,0.3625,33.0,49.857142857142854
88,0.36666666666666664,33.0,49.857142857142854
89,0.37083333333333335,33.0,49.42857142857142
90,0.375,33.0,49.285714285714285
91,0.37916666666666665,33.0,48.42857142857142
92,0.38333333333333336,33.0,48.14285714285714
93,0.3875,33.0,48.0
94,0.39166666666666666,33.0,48.14285714285714
95,0.3958333333333333,33.0,48.857142857142854
96,0.4,33.0,49.42857142857142
97,0.4041666666666667,33.0,49.42857142857142
98,0.4083333333333333,33.0,49.857142857142854
99,0.4125,33.0,49.857142857142854
100,0.4166666666666667,33.0,49.14285714285714
101,0.42083333333333334,33.0,49.14285714285714
102,0.425,33.0,48.285714285714285
103,0.42916666666666664,33.0,48.14285714285714
104,0.43333333333333335,33.0,48.42857142857142
105,0.4375,33.14285714285714,48.71428571428571
106,0.44166666666666665,33.0,49.14285714285714
107,0.44583333333333336,33.0,49.57142857142857
108,0.45,33.0,49.57142857142857
109,0.45416666666666666,33.0,49.42857142857142
110,0.4583333333333333,33.0,49.42857142857142
111,0.4625,33.0,48.71428571428571
112,0.4666666666666667,32.857142857142854,48.42857142857142
113,0.4708333333333333,33.0,48.285714285714285
114,0.475,33.0,48.285714285714285
115,0.4791666666666667,33.0,48.71428571428571
116,0.48333333333333334,32.857142857142854,49.14285714285714
117,0.4875,33.0,49.42857142857142
118,0.49166666666666664,33.0,49.42857142857142
119,0.49583333333333335,33.0,49.42857142857142
120,0.5,33.0,49.285714285714285
121,0.5041666666666667,33.0,48.857142857142854
122,0.5083333333333333,33.0,48.42857142857142
123,0.5125,33.14285714285714,48.57142857142857
124,0.5166666666666667,33.0,48.42857142857142
125,0.5208333333333334,33.0,48.42857142857142
126,0.525,33.0,49.0
127,0.5291666666666667,33.0,49.0
128,0.5333333333333333,33.0,49.42857142857142
129,0.5375,33.0,49.42857142857142
130,0.5416666666666666,33.0,49.14285714285714
131,0.5458333333333333,33.0,49.0
132,0.55,33.14285714285714,48.71428571428571
133,0.5541666666666667,33.0,48.42857142857142
134,0.5583333333333333,33.0,48.42857142857142
135,0.5625,33.14285714285714,48.71428571428571
136,0.5666666666666667,33.14285714285714,48.71428571428571
137,0.5708333333333333,33.0,49.14285714285714
138,0.575,33.0,49.14285714285714
139,0.5791666666666667,33.0,49.285714285714285
140,0.5833333333333334,33.0,49.285714285714285
141,0.5875,33.0,49.0
142,0.5916666666666667,33.0,48.857142857142854
143,0.5958333333333333,33.0,48.57142857142857
144,0.6,33.0,48.42857142857142
145,0.6041666666666666,33.0,48.57142857142857
146,0.6083333333333333,33.0,48.71428571428571
147,0.6125,33.0,49.0
148,0.6166666666666667,33.0,49.14285714285714
